Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Sun Aug 26 18:42:55 +0000 2018,"Mass shooting in Jacksonville, Florida https://t.co/hlxQQ4IJoU",0.0,1.0,0.0,0.0,79
BBCWorld,Sun Aug 26 17:57:02 +0000 2018,When the Pope asked Ireland for forgiveness https://t.co/E1zMBHGzZp,0.231,0.769,0.0,0.2732,80
BBCWorld,Sun Aug 26 16:49:09 +0000 2018,"""He was always willing to speak truth to power"" - Tributes to John McCain

https://t.co/VoG3VTnCRu https://t.co/QehdNdHnic",0.141,0.859,0.0,0.3182,81
BBCWorld,Sun Aug 26 16:45:16 +0000 2018,RT @BBCNews: Neil Simon: Celebrated US playwright dies aged 91 https://t.co/S6Ew4Qk73Q,0.27,0.73,0.0,0.5719,82
BBCWorld,Sun Aug 26 16:14:40 +0000 2018,Papal visit: Vigils remember Church abuse victims https://t.co/5rKkCShAxz,0.0,0.48,0.52,-0.7579,83
BBCWorld,Sun Aug 26 15:49:27 +0000 2018,German town evacuated over WW2 bomb https://t.co/ALnTTHQFIC,0.0,0.652,0.348,-0.4939,84
BBCWorld,Sun Aug 26 15:26:39 +0000 2018,Can man's best friend help take down the ivory trade? 🐕🐘 https://t.co/83K8s0IkOA,0.529,0.471,0.0,0.8779,85
BBCWorld,Sun Aug 26 15:26:35 +0000 2018,"RT @BBCNews: Egypt hotel deaths: ""As soon as they went into the bedroom my daughter said she could smell something funny - that wasn't righ…",0.112,0.888,0.0,0.4404,86
BBCWorld,Sun Aug 26 15:20:21 +0000 2018,"RT @bbcworldservice: ""Entangled in a fishing net... it was as torturously sad as anything I've ever seen in my whole life."" The race to sav…",0.0,0.777,0.223,-0.743,87
BBCWorld,Sun Aug 26 14:44:33 +0000 2018,"RT @bbcf1: 🇩🇪 Sebastian Vettel wins! 

Lewis Hamilton finishes second, meaning his lead at the top is cut from 24 points to 17.

Live #Belg…",0.194,0.736,0.07,0.5707,88
BBCWorld,Sun Aug 26 14:35:06 +0000 2018,Afghanistan Islamic State leader 'killed in air strike' https://t.co/SSeOPBElfN,0.0,0.538,0.462,-0.7184,89
BBCWorld,Sun Aug 26 14:07:01 +0000 2018,"RT @BBCNewsNI: ""I was disappointed there isn't going to be a more open and transparent accountability process."" Marie Collins was one of th…",0.0,0.871,0.129,-0.4767,90
BBCWorld,Sun Aug 26 13:46:00 +0000 2018,Australia: Illegal boat runs aground in Queensland crocodile swamp https://t.co/gM9OCV2sPG,0.0,0.714,0.286,-0.5574,91
BBCWorld,Sun Aug 26 12:37:00 +0000 2018,"These endangered birds have no sense of direction, so conservationists came up with a novel way to get them home...… https://t.co/euDXjyNNHL",0.102,0.8,0.098,0.0258,92
BBCWorld,Sun Aug 26 12:04:12 +0000 2018,Iran MPs vote to remove economy minister amid financial crisis https://t.co/8awQ4Nx6rx,0.0,0.709,0.291,-0.6249,93
BBCWorld,Sun Aug 26 11:45:40 +0000 2018,Asian Games: Unified Korea boating team win historic gold https://t.co/mvFQFtOgeq,0.444,0.556,0.0,0.7506,94
